country:bra
Guang         ,广岛三箭
Xin           ,新泻天鹅
Heng          ,横滨水手
FC            ,FC东京
Xian          ,仙台维加泰
Qing          ,清水鼓动
DaGang        ,大阪钢巴
DaYing        ,大阪樱花,
Ming          ,名古屋鲸
Jia           ,甲府风林
DaGong        ,大宫松鼠
De            ,德岛漩涡
Xiang         ,湘南海洋
Pan           ,磐田喜悦
DaFeng        ,大分三神
Zha           ,札幌冈萨多
Fu            ,福冈黄蜂
Shan          ,山形山神
Jing          ,京都不死鸟
Qian          ,千叶市原
Dong          ,东京绿茵
HengFC        ,横滨FC
ShanXingM     ,山形蒙迪
Song          ,松本山雅
Chang         ,长崎成功丸
Qun           ,群马草津温泉
Zan           ,赞岐釜玉海
NiaoQuX       ,鸟取希望
Ting          ,町田泽维亚
NiaoQuF       ,鸟取飞翔
Bei           ,北九州向日葵
Qi            ,岐阜FC
FuShan        ,富山胜利
Li            ,枥木SC
Gang          ,冈山绿雉
Xiong         ,熊本深红
XiangNanB     ,湘南比马
Ai            ,爱嫒FC
Cao           ,草津温泉
Shui          ,水户蜀葵
end:jpn_b

country:kor
浦项制铁       ,Pu
浦項制鐵       ,Pu
全北现代       ,QuanBei
全北汽車       ,QuanBei
全南天龙       ,QuanNan
全南天龍       ,QuanNan
济州联队       ,Ji
濟州聯          ,Ji
水原三星       ,Shui
蔚山现代       ,Wei
FC首尔          ,FCShou
FC首爾          ,FCShou
尚州尚武       ,Shang
城南一和天马   ,ChengYi
城南一和天馬   ,ChengYi
釜山偶像       ,Fu
蔚山現代       ,Wei
庆南FC      ,FCQing
慶南FC      ,FCQing
仁川联队       ,Ren
仁川聯          ,Ren
江原FC      ,FCJiang
FC江原           ,FCJiang
大邱FC      ,DaQiu
大田市民       ,DaTian
光州市民       ,Guang
城南足球俱乐部 ,ChengZu
FC光州         ,FCGuang
光州FC     ,FCGuang
Pu          ,浦项制铁
Pu          ,浦項制鐵
QuanBei     ,全北现代
QuanBei     ,全北汽車
QuanNan     ,全南天龙
QuanNan     ,全南天龍
Ji          ,济州联队
Ji          ,濟州聯
Shui        ,水原三星
Wei         ,蔚山现代
FCShou      ,FC首尔
FCShou      ,FC首爾
Shang       ,尚州尚武
ChengYi     ,城南一和天马
ChengYi     ,城南一和天馬
Fu          ,釜山偶像
Wei         ,蔚山現代
FCQing      ,庆南FC
FCQing      ,慶南FC
Ren         ,仁川联队
Ren         ,仁川聯
FCJiang     ,江原FC
FCJiang     ,FC江原
DaQiu       ,大邱FC
DaTian      ,大田市民
Guang       ,光州市民
ChengZu     ,城南足球俱乐部 
FCGuang     ,FC光州
FCGuang     ,光州FC
end:kor

country:nor
莫尔德         ,Mo
斯托姆加斯特   ,SiTuo
斯特罗姆加斯特 ,SiTuo
罗森博格       ,Luo
奥德           ,AoDe
瓦勒伦加       ,Wa
利勒斯特罗姆   ,LiLe
维京           ,Wei
斯达           ,SiDa
萨普斯堡       ,Sa
萨尔普斯堡     ,Sa
松达尔         ,Song
斯塔贝克       ,SiTa
博德闪耀       ,BoDe
奥勒松         ,AoLe
海于格松       ,Hai
布兰           ,BuLan
桑内斯         ,SangNei
桑德尼斯       ,SangNei
特罗姆瑟       ,Te
赫纳福斯       ,He
侯尼霍斯       ,He
广士云格       ,Guang
桑德菲奥德     ,SangDe
博多格林特     ,BoDuo
博德闪耀       ,BoDuo
利恩           ,LiEn
咸卡姆         ,Xian
布莱尼         ,BuLai
莫斯           ,MoSi
豪桑           ,Hao
奥德格伦兰     ,Ao
奥德格陵兰     ,Ao
奥德           ,Ao
费德列斯达     ,Fei
腓特烈斯塔     ,Fei
Mo      ,莫尔德
SiTuo   ,斯托姆加斯特
Luo     ,罗森博格
AoDe    ,奥德
Wa      ,瓦勒伦加
LiLe    ,利勒斯特罗姆
Wei     ,维京
SiDa    ,斯达
Sa      ,萨普斯堡
Song    ,松达尔
SiTa    ,斯塔贝克
BoDe    ,博德闪耀
AoLe    ,奥勒松
Hai     ,海于格松
BuLan   ,布兰
SangNei ,桑内斯
Te      ,特罗姆瑟
He      ,赫纳福斯
Guang   ,广士云格
SangDe  ,桑德菲奥德
BoDuo   ,博多格林特
LiEn    ,利恩
Xian    ,咸卡姆
BuLai   ,布莱尼
MoSi    ,莫斯
Hao     ,豪桑
Ao      ,奥德格伦兰
Fei     ,费德列斯达
end:nor

country:swe
马尔默         ,Ma
赫根           ,He
卡尔马         ,Ka
哥德堡         ,Ge
IFK哥德堡      ,Ge
埃尔夫斯堡     ,Ai
佐加顿斯       ,Zuo
法尔肯堡       ,Fa
耶夫勒         ,Ye
赫尔辛堡       ,HeEr
哈尔姆斯达斯   ,HaEr
